USER_ID,GENDER
1,M
2,F
3,F
4,M
5,F
6,M
7,F
8,F
9,M
10,M
11,M
12,F
13,F
14,M
15,F
16,M
17,F
18,F
19,M
20,M
21,M
22,F
23,F
24,M
25,F
26,M
27,F
28,F
29,M
30,M
31,M
32,F
34,F
36,M
38,F
39,M
40,F
41,F
42,M
43,M
44,M
45,F
46,F
47,M
48,F
49,M
50,F
52,F
53,M
54,M
55,M
57,F
58,F
60,M
61,F
62,M
63,F
64,F
65,M
66,M
68,M
69,F
70,F
71,M
72,F
73,M
74,F
75,F
76,M
77,M
78,M
79,F
80,F
81,M
82,F
83,M
85,F
86,F
87,M
88,M
89,M
92,F
93,F
94,M
95,F
96,M
97,F
99,F
100,M
101,M
102,M
103,F
104,F
105,M
106,F
107,M
108,F
110,F
111,M
112,M
113,M
116,F
117,F
118,M
119,F
121,M
122,F
123,F
125,M
126,M
128,M
129,F
132,F
135,M
137,F
140,M
141,F
144,F
145,M
146,M
147,M
148,F
149,F
150,M
151,F
152,M
153,F
154,F
155,M
156,M
157,M
158,F
159,F
160,M
161,F
162,M
163,F
164,F
165,M
166,M
168,M
169,F
170,F
171,M
172,F
173,M
174,F
175,F
176,M
177,M
178,M
179,F
180,F
181,M
183,F
184,M
185,F
186,F
187,M
188,M
189,M
190,F
191,F
193,M
194,F
195,M
196,F
198,F
199,M
201,M
202,M
203,F
204,F
205,M
206,F
207,M
208,F
209,F
210,M
211,M
212,M
213,F
214,F
215,M
216,F
217,M
218,F
219,F
220,M
222,M
223,M
224,F
225,F
227,M
228,F
229,M
230,F
231,F
232,M
233,M
234,M
235,F
236,F
237,M
238,F
239,M
240,F
241,F
242,M
243,M
246,M
247,F
248,F
249,M
250,F
251,M
252,F
253,F
254,M
255,M
256,M
257,F
258,F
259,M
260,F
261,M
262,F
263,F
265,M
266,M
267,M
269,F
270,F
271,M
272,F
273,M
274,F
275,F
276,M
277,M
278,M
279,F
280,F
281,M
282,F
283,M
284,F
285,F
287,M
288,M
289,M
290,F
291,F
292,M
293,F
294,M
295,F
296,F
298,M
299,M
300,M
301,F
302,F
303,M
304,F
305,M
306,F
307,F
308,M
310,M
311,M
312,F
313,F
314,M
315,F
316,M
317,F
318,F
319,M
320,M
321,M
322,F
324,F
325,M
326,F
327,M
328,F
329,F
330,M
331,M
332,M
333,F
334,F
335,M
336,F
337,M
338,F
339,F
340,M
341,M
342,M
343,F
344,F
345,M
346,F
347,M
348,F
349,F
350,M
351,M
352,M
353,F
354,F
355,M
356,F
357,M
358,F
359,F
360,M
361,M
362,M
363,F
364,F
365,M
366,F
367,M
368,F
369,F
370,M
371,M
372,M
373,F
374,F
376,M
377,F
378,M
379,F
380,F
381,M
382,M
383,M
384,F
385,F
386,M
387,F
388,M
389,F
390,F
391,M
393,M
405,M
406,F
407,F
408,M
409,F
410,M
412,F
413,F
414,M
415,M
416,M
417,F
418,F
419,M
420,F
421,M
422,F
423,F
424,M
425,M
426,M
427,F
428,F
429,M
430,F
431,M
432,F
433,F
434,M
435,M
436,M
437,F
438,F
440,M
441,F
442,M
444,F
445,F
446,M
448,M
449,M
450,F
451,F
452,M
453,F
454,M
455,F
456,F
457,M
458,M
459,M
460,F
461,F
464,M
466,F
467,M
468,F
469,F
470,M
471,M
472,M
473,F
474,F
475,M
476,F
477,M
478,F
479,F
480,M
481,M
482,M
484,F
485,F
486,M
487,F
488,M
489,F
490,F
491,M
492,M
493,M
494,F
495,F
496,M
497,F
499,M
500,F
501,F
502,M
504,M
505,M
506,F
507,F
508,M
509,F
510,M
511,F
512,F
513,M
514,M
515,M
516,F
517,F
518,M
519,F
520,M
521,F
522,F
523,M
524,M
526,M
527,F
528,F
529,M
531,F
532,M
533,F
534,F
535,M
536,M
537,M
538,F
539,F
540,M
541,F
542,M
543,F
544,F
546,M
547,M
548,M
549,F
550,F
551,M
552,F
553,M
555,F
556,F
558,M
562,M
563,M
564,F
567,F
568,M
569,F
573,M
574,F
575,F
577,M
579,M
580,M
581,F
583,F
585,M
586,F
587,M
588,F
589,F
590,M
592,M
593,M
594,F
595,F
596,M
597,F
599,M
600,F
602,F
605,M
606,M
608,M
609,F
610,F